trial	count_a	lat_a	count_m	lat_m	scorer
11159.20130425.1.34	-1	-1	-1	-1	LR
11159.20130425.1.35	-1	-1	-1	-1	LR
11159.20130425.1.36	-1	-1	-1	-1	LR
11159.20130425.1.37	-1	-1	-1	-1	LR
11159.20130425.1.38	1	285	1	283	LR
11159.20130425.1.39	-1	-1	-1	-1	LR
11159.20130425.1.40	-1	-1	-1	-1	LR
11159.20130425.1.41	1	278	1	267	LR
11159.20130425.1.42	1	287	1	283	LR
11159.20130425.1.43	1	206	1	200	LR
11159.20130425.1.44	-1	-1	1	200	LR
11159.20130425.1.45	-1	-1	1	250	LR
11159.20130425.1.46	-1	-1	-1	-1	LR
11159.20130425.1.47	-1	-1	-1	-1	LR
11159.20130425.1.48	1	275	1	267	LR
11157.20130424.1.1	2	324	2	283	RI
11157.20130424.1.2	0	206	-1	-1	RI
11157.20130424.1.3	2	339	2	333	RI
11157.20130424.1.4	2	201	2	200	RI
11157.20130424.1.5	2	147	2	133	RI
11157.20130424.1.6	2	228	2	250	RI
11157.20130424.1.7	1	309	1	300	RI
11157.20130424.1.8	2	120	2	117	RI
11157.20130424.1.9	2	130	2	117	RI
11157.20130424.1.10	2	149	2	133	RI
11157.20130424.1.11	-1	-1	-1	-1	RI
11157.20130424.1.12	1	304	1	283	RI
11157.20130424.1.13	2	204	2	183	RI
11157.20130424.1.14	2	204	2	200	RI
11157.20130424.1.15	2	176	2	183	RI
11157.20130424.1.16	1	245	1	250	RI
11157.20130424.1.17	1	285	1	283	RI
11157.20130424.1.18	2	149	2	150	RI
11157.20130424.1.19	1	228	1	217	RI
11157.20130424.1.20	1	292	1	283	RI
11157.20130424.1.21	1	373	-1	-1	RI
11157.20130424.1.22	1	233	1	250	RI
11157.20130424.1.23	-1	-1	-1	-1	RI
11157.20130424.1.24	1	255	1	250	RI
11157.20130424.1.25	2	216	2	217	RI
11157.20130424.1.26	1	282	1	283	RI
11157.20130424.1.27	1	307	1	317	RI
11157.20130424.1.28	2	120	2	133	RI
11157.20130424.1.29	-1	-1	-1	-1	RI
11157.20130424.1.30	2	199	2	200	RI
11157.20130424.1.31	2	137	2	133	RI
11157.20130424.1.32	1	277	1	250	RI
11157.20130424.1.33	2	231	2	217	RI
11157.20130424.1.34	1	258	1	267	RI
11157.20130424.1.35	2	145	2	133	RI
11157.20130424.1.36	2	181	2	183	RI
11157.20130424.1.37	1	238	1	250	RI
11157.20130424.1.38	2	140	0	133	RI
11157.20130424.1.39	1	285	1	283	RI
11157.20130424.1.40	1	260	1	250	RI
11157.20130424.1.41	2	193	2	200	RI
11157.20130424.1.42	2	204	2	200	RI
11157.20130424.1.43	1	282	1	300	RI
11157.20130424.1.44	2	191	2	200	RI
11157.20130424.1.45	1	366	1	367	RI
11157.20130424.1.46	1	388	1	383	RI
11157.20130424.1.47	1	235	1	233	RI
11157.20130424.1.48	2	196	2	200	RI
11156.20130423.1.1	1	607	1	483	RI
11156.20130423.1.2	1	409	1	400	RI
11156.20130423.1.3	1	383	1	400	RI
11156.20130423.1.4	1	255	1	233	RI
11156.20130423.1.5	2	322	2	317	RI
11156.20130423.1.6	1	366	1	367	RI
11156.20130423.1.7	1	302	1	350	RI
11156.20130423.1.8	1	312	1	300	RI
11156.20130423.1.9	1	339	1	333	RI
11156.20130423.1.10	1	272	1	267	RI
11156.20130423.1.11	1	257	1	267	RI
11156.20130423.1.12	1	255	1	267	RI
11156.20130423.1.13	1	336	1	350	RI
11156.20130423.1.14	1	282	1	283	RI
11156.20130423.1.15	1	241	1	233	RI
11156.20130423.1.16	1	240	1	250	RI
11156.20130423.1.17	1	371	-1	-1	RI
