script cueTime targetTime type targetPos
List7AV 249 252 ps 3
List7AV 256.5 259.5 ps 1
List7AV 270 273 ps 6
List7AV 277.5 280.5 ps 6
List7AV 285 288 ps 2
List7AV 292.5 295.5 ps 5
List7AV 303 306 ps 5
List7AV 313.5 316.5 ps 4
List8AV 46.5 49.5 as 4
List8AV 57 60 as 1
List8AV 70.5 73.5 as 5
List8AV 78 81 as 6
List8AV 85.5 88.5 as 1
List8AV 93 96 as 2
List8AV 100.5 103.5 as 4
List8AV 114 117 as 3
List8AV 121.5 124.5 as 3
List8AV 132 135 as 2
List8AV 139.5 142.5 as 5
List8AV 150 153 as 6
List8AV 217.5 220.5 ps 6
List8AV 231 234 ps 3
List8AV 244.5 247.5 ps 1
List8AV 252 255 ps 5
List8AV 262.5 265.5 ps 6
List8AV 270 273 ps 4
List8AV 277.5 280.5 ps 4
List8AV 285 288 ps 1
List8AV 292.5 295.5 ps 2
List8AV 303 306 ps 2
List8AV 310.5 313.5 ps 3
List8AV 318 321 ps 5
List9AV 48 51 as 3
List9AV 55.5 58.5 as 4
List9AV 63 66 as 6
List9AV 70.5 73.5 as 5
List9AV 81 84 as 5
List9AV 91.5 94.5 as 2
List9AV 99 102 as 1
List9AV 106.5 109.5 as 2
List9AV 114 117 as 6
List9AV 124.5 127.5 as 1
List9AV 138 141 as 3
List9AV 145.5 148.5 as 4
List9AV 219 222 ps 3
List9AV 226.5 229.5 ps 2
List9AV 234 237 ps 6
List9AV 247.5 250.5 ps 1
List9AV 255 258 ps 3
List9AV 265.5 268.5 ps 4
List9AV 273 276 ps 5
List9AV 280.5 283.5 ps 5
List9AV 291 294 ps 1
List9AV 298.5 301.5 ps 2
List9AV 306 309 ps 6
List9AV 316.5 319.5 ps 4
List10AV 43.5 46.5 as 2
List10AV 51 54 as 5
List10AV 61.5 64.5 as 3
List10AV 69 72 as 3
List10AV 76.5 79.5 as 6
List10AV 84 87 as 1
List10AV 91.5 94.5 as 6
List10AV 99 102 as 1
List10AV 109.5 112.5 as 2
List10AV 123 126 as 4
List10AV 130.5 133.5 as 4
List10AV 138 141 as 5
List10AV 210 213 ps 3
List10AV 217.5 220.5 ps 1
List10AV 225 228 ps 2
List10AV 238.5 241.5 ps 4
List10AV 246 249 ps 5
List10AV 256.5 259.5 ps 5
List10AV 264 267 ps 6
List10AV 274.5 277.5 ps 3
List10AV 288 291 ps 1
List10AV 298.5 301.5 ps 6
List10AV 306 309 ps 4
List10AV 313.5 316.5 ps 2
List11AV 48 51 as 2
List11AV 55.5 58.5 as 5
List11AV 63 66 as 1
List11AV 70.5 73.5 as 4
