"subj"	"run"	"trial"	"onset"	"slowed"	"end"	"startpos"	"endpos"	"maxpos"	"minpos"	"held"	"cordir"	"corpos"	"corside"	"gtMinLen"	"intime"	"distance"	"crossFix"	"MaxMinX"	"gtMinMag"	"startatFix"	"p.tracked"	"xdat"	"reason"
63	0	22	0.732666666666667	0.768666666666667	0.788666666666667	73.8008908240797	88.7944906167924	88.7944906167924	73.8008908240797	0	TRUE	FALSE	FALSE	TRUE	TRUE	14.9935997927126	0	FALSE	TRUE	FALSE	1	161	NA
63	0	22	0.828666666666667	0.868666666666667	0.896666666666667	87.8762158976327	69.650159587895	87.8762158976327	69.650159587895	0	FALSE	FALSE	FALSE	TRUE	TRUE	-18.2260563097376	0	FALSE	TRUE	FALSE	1	161	NA
63	0	22	0.924666666666667	1.04066666666667	1.26866666666667	70.4025881275537	237.935744267382	237.935744267382	70.4025881275537	1	TRUE	TRUE	TRUE	TRUE	TRUE	167.533156139828	1	TRUE	TRUE	FALSE	0.5	161	NA
63	0	23	0.361041666666667	0.408541666666667	0.4125	121.197184009493	101.697806711825	121.197184009493	101.697806711825	0	TRUE	FALSE	TRUE	TRUE	TRUE	-19.4993772976675	0	FALSE	TRUE	TRUE	1	165	NA
63	0	23	0.420416666666667	NA	0.479791666666667	101.465927886584	128.026825386182	128.026825386182	101.465927886584	0	FALSE	FALSE	FALSE	TRUE	TRUE	26.560897499598	1	TRUE	TRUE	FALSE	1	165	NA
63	0	23	0.479791666666667	0.5075	0.511458333333333	128.026825386182	139.000731033848	139.000731033848	128.026825386182	0	FALSE	FALSE	FALSE	FALSE	TRUE	10.973905647666	0	FALSE	TRUE	TRUE	1	165	NA
63	0	23	0.519375	0.555	0.558958333333333	138.796051346127	121.179533895228	138.796051346127	121.179533895228	0	TRUE	FALSE	TRUE	FALSE	TRUE	-17.6165174508996	-1	TRUE	TRUE	FALSE	1	165	NA
63	0	23	0.570833333333333	0.57875	0.586666666666667	121.869766723961	125.764233326908	125.764233326908	121.869766723961	0	FALSE	FALSE	FALSE	FALSE	TRUE	3.89446660294728	1	TRUE	FALSE	TRUE	1	165	NA
63	0	23	0.594583333333333	0.709375	0.733125	125.530374628824	62.2703914440986	125.530374628824	62.2703914440986	1	TRUE	TRUE	TRUE	TRUE	TRUE	-63.259983184725	-1	TRUE	TRUE	TRUE	1	165	NA
63	0	23	1.40208333333333	1.516875	1.52875	66.5340622988787	123.677098562659	123.677098562659	66.5340622988787	1	FALSE	FALSE	TRUE	TRUE	TRUE	57.1430362637806	0	FALSE	TRUE	FALSE	1	165	NA
63	0	24	0.336666666666667	0.464666666666667	0.480666666666667	137.816335533102	248.299292129822	248.299292129822	137.816335533102	1	TRUE	TRUE	TRUE	TRUE	TRUE	110.48295659672	0	FALSE	TRUE	TRUE	1	181	NA
63	0	25	0.448666666666667	0.548666666666667	0.560666666666667	137.990718520682	94.9666420686325	137.990718520682	94.9666420686325	1	TRUE	FALSE	TRUE	TRUE	TRUE	-43.0240764520493	-1	TRUE	TRUE	TRUE	1	186	NA
63	0	26	0.388666666666667	0.516666666666667	0.536666666666667	133.902353062355	234.879661090784	234.879661090784	133.902353062355	1	TRUE	FALSE	TRUE	TRUE	TRUE	100.977308028429	0	FALSE	TRUE	TRUE	1	183	NA
63	0	26	0.680666666666667	NA	0.704666666666667	231.212728453599	226.780491970497	231.212728453599	226.780491970497	0	FALSE	FALSE	TRUE	FALSE	TRUE	-4.43223648310209	0	FALSE	FALSE	FALSE	1	183	NA
63	0	26	0.704666666666667	NA	0.756666666666667	226.780491970497	258.183977565463	258.322944387071	226.780491970497	0	TRUE	FALSE	TRUE	TRUE	TRUE	31.4034855949658	0	FALSE	TRUE	FALSE	1	183	NA
63	0	26	0.756666666666667	0.876666666666667	0.904666666666667	258.183977565463	144.228133502157	258.183977565463	144.228133502157	1	FALSE	TRUE	TRUE	TRUE	TRUE	-113.955844063305	0	FALSE	TRUE	FALSE	1	183	NA
63	0	27	0.456666666666667	0.544666666666667	0.580666666666667	135.4255939049	170.362979970162	170.362979970162	135.4255939049	1	TRUE	TRUE	TRUE	TRUE	TRUE	34.937386065262	0	FALSE	TRUE	TRUE	1	183	NA
63	0	28	0.328666666666667	0.420666666666667	0.436666666666667	130.625657622382	92.3944529231942	130.625657622382	92.3944529231942	1	FALSE	FALSE	FALSE	TRUE	TRUE	-38.2312046991877	0	FALSE	TRUE	TRUE	1	162	NA
63	0	28	0.604666666666667	0.824666666666667	0.836666666666667	88.5220293258383	231.763465368397	231.763465368397	88.5220293258383	1	TRUE	TRUE	TRUE	TRUE	TRUE	143.241436042559	1	TRUE	TRUE	FALSE	1	162	NA
63	0	28	0.992666666666667	1.06866666666667	1.09266666666667	224.888597229663	195.521250779276	224.888597229663	195.521250779276	1	FALSE	TRUE	TRUE	TRUE	TRUE	-29.3673464503876	0	FALSE	TRUE	FALSE	1	162	NA
