trial	count_a	lat_a	count_m	lat_m	scorer
11156.20130426.4.8	-1	-1	-1	-1	LR
11156.20130426.4.9	0	83	0	117	LR
11156.20130426.4.10	1	373	1	400	LR
11156.20130426.4.11	1	417	1	433	LR
11156.20130426.4.12	1	465	1	500	LR
11156.20130426.4.13	1	388	-1	-1	LR
11156.20130426.4.14	1	401	1	417	LR
11156.20130426.4.15	1	445	1	467	LR
11156.20130426.4.16	-1	-1	-1	-1	LR
11156.20130426.4.17	1	427	1	417	LR
11156.20130426.4.18	-1	-1	-1	-1	LR
11156.20130426.4.19	-1	-1	-1	-1	LR
11156.20130426.4.20	1	428	1	450	LR
11156.20130426.4.21	1	381	1	383	LR
11156.20130426.4.22	1	473	1	500	LR
11156.20130426.4.23	-1	-1	0	467	LR
11156.20130426.4.24	1	428	1	433	LR
11156.20130426.4.25	-1	-1	-1	-1	LR
11156.20130426.4.26	-1	-1	-1	-1	LR
11156.20130426.4.27	1	466	1	483	LR
11156.20130426.4.28	1	476	1	467	LR
11156.20130426.4.29	1	388	-1	-1	LR
11156.20130426.4.30	-1	-1	-1	-1	LR
11156.20130426.4.31	-1	-1	-1	-1	LR
11156.20130426.4.32	0	431	-1	-1	LR
11156.20130426.4.33	1	435	1	450	LR
11156.20130426.4.34	1	645	1	650	LR
11156.20130426.4.35	-1	-1	-1	-1	LR
11156.20130426.4.36	-1	-1	1	583	LR
11156.20130426.4.37	1	491	1	500	LR
11156.20130426.4.38	-1	-1	-1	-1	LR
11156.20130426.4.39	1	597	1	600	LR
11156.20130426.4.40	-1	-1	-1	-1	LR
11156.20130426.4.41	1	422	1	450	LR
11156.20130426.4.42	-1	-1	-1	-1	LR
11156.20130426.3.1	1	663	1	650	LR
11156.20130426.3.2	1	457	1	467	LR
11156.20130426.3.3	-1	-1	-1	-1	LR
11156.20130426.3.4	1	440	1	467	LR
11156.20130426.3.5	1	421	-1	-1	LR
11156.20130426.3.6	-1	-1	-1	-1	LR
11156.20130426.3.7	-1	-1	-1	-1	LR
11156.20130426.3.8	-1	-1	1	583	LR
11156.20130426.3.9	-1	-1	-1	-1	LR
11156.20130426.3.10	-1	-1	1	650	LR
11156.20130426.3.11	-1	-1	0	383	LR
11156.20130426.3.12	-1	-1	-1	-1	LR
11156.20130426.3.13	1	517	1	533	LR
11156.20130426.3.14	1	444	1	467	LR
11156.20130426.3.15	-1	-1	-1	-1	LR
11156.20130426.3.16	1	449	1	483	LR
11156.20130426.3.17	1	472	1	483	LR
11156.20130426.3.18	-1	-1	-1	-1	LR
11156.20130426.3.19	-1	-1	-1	-1	LR
11156.20130426.3.20	1	525	1	550	LR
11156.20130426.3.21	2	413	-1	-1	LR
11156.20130426.3.22	-1	-1	-1	-1	LR
11156.20130426.3.23	-1	-1	-1	-1	LR
11156.20130426.3.24	1	612	1	650	LR
11156.20130426.3.25	1	439	1	450	LR
11156.20130426.3.26	-1	-1	-1	-1	LR
11156.20130426.3.27	1	418	1	433	LR
11156.20130426.3.28	-1	-1	-1	-1	LR
11156.20130426.3.29	1	412	1	433	LR
11156.20130426.3.30	-1	-1	-1	-1	LR
11156.20130426.3.31	1	420	1	433	LR
11156.20130426.3.32	1	585	1	450	LR
11156.20130426.3.33	1	575	1	600	LR
11156.20130426.3.34	-1	-1	-1	-1	LR
11156.20130426.3.35	1	440	1	417	LR
11156.20130426.3.36	-1	-1	1	333	LR
11156.20130426.3.37	1	512	1	533	LR
11156.20130426.3.38	-1	-1	1	417	LR
11156.20130426.3.39	-1	-1	0	400	LR
11156.20130426.3.40	-1	-1	-1	-1	LR
11156.20130426.3.41	-1	-1	-1	-1	LR
11156.20130426.3.42	-1	-1	-1	-1	LR
11156.20130426.2.1	-1	-1	0	400	LR
11156.20130426.2.2	1	557	1	483	LR
11156.20130426.2.3	1	572	1	400	LR
11156.20130426.2.4	-1	-1	1	533	LR
11156.20130426.2.5	0	270	-1	-1	LR
11156.20130426.2.6	1	457	1	483	LR
11156.20130426.2.7	-1	-1	1	650	LR
11156.20130426.2.8	1	549	1	533	LR
11156.20130426.2.9	1	389	1	417	LR
11156.20130426.2.10	1	493	1	517	LR
11156.20130426.2.11	1	608	1	617	LR
11156.20130426.2.12	-1	-1	1	417	LR
11156.20130426.2.13	1	431	1	433	LR
11156.20130426.2.14	-1	-1	-1	-1	LR
11156.20130426.2.15	-1	-1	-1	-1	LR
11156.20130426.2.16	1	532	1	533	LR
11156.20130426.2.17	0	87	-1	-1	LR
11156.20130426.2.18	1	609	0	600	LR
11156.20130426.2.19	1	584	1	583	LR
11156.20130426.2.20	1	651	1	683	LR
11156.20130426.2.21	-1	-1	-1	-1	LR
11156.20130426.2.22	1	565	1	400	LR
11156.20130426.2.23	1	498	1	500	LR
11156.20130426.2.24	-1	-1	-1	-1	LR
11156.20130426.2.25	0	174	-1	-1	LR
11156.20130426.2.26	1	409	1	417	LR
11156.20130426.2.27	1	590	1	617	LR
11156.20130426.2.28	1	500	1	500	LR
11156.20130426.2.29	1	496	1	350	LR
11156.20130426.2.30	-1	-1	1	667	LR
11156.20130426.2.31	1	398	1	417	LR
11156.20130426.2.32	1	518	1	383	LR
11156.20130426.2.33	1	480	1	467	LR
11156.20130426.2.34	1	451	1	483	LR
11156.20130426.2.35	-1	-1	-1	-1	LR
11156.20130426.2.36	1	566	1	417	LR
11156.20130426.2.37	1	443	-1	-1	LR
11156.20130426.2.38	-1	-1	-1	-1	LR
11156.20130426.2.39	1	614	1	433	LR
11156.20130426.2.40	-1	-1	-1	-1	LR
11156.20130426.2.41	1	421	1	433	LR
11156.20130426.2.42	-1	-1	-1	-1	LR
11156.20130426.1.1	1	533	1	467	LR
11156.20130426.1.2	1	614	1	617	LR
11156.20130426.1.3	1	451	1	467	LR
11156.20130426.1.4	1	530	1	533	LR
11156.20130426.1.5	-1	-1	-1	-1	LR
11156.20130426.1.6	-1	-1	1	483	LR
11156.20130426.1.7	1	774	1	100	LR
11156.20130426.1.8	1	515	1	567	LR
11156.20130426.1.9	1	454	1	483	LR
11156.20130426.1.10	-1	-1	-1	-1	LR
11156.20130426.1.11	1	595	1	617	LR
11156.20130426.1.12	1	493	1	500	LR
11156.20130426.1.13	-1	-1	-1	-1	LR
11156.20130426.1.14	-1	-1	-1	-1	LR
11156.20130426.1.15	-1	-1	1	417	LR
11156.20130426.1.16	-1	-1	-1	-1	LR
11156.20130426.1.17	1	479	1	467	LR
11156.20130426.1.18	-1	-1	-1	-1	LR
11156.20130426.1.19	-1	-1	-1	-1	LR
11156.20130426.1.20	1	239	1	233	LR
11156.20130426.1.21	-1	-1	-1	-1	LR
11156.20130426.1.22	-1	-1	-1	-1	LR
11156.20130426.1.23	1	494	1	500	LR
11156.20130426.1.24	1	541	1	550	LR
11156.20130426.1.25	1	501	1	433	LR
11156.20130426.1.26	1	432	1	433	LR
11156.20130426.1.27	1	419	1	433	LR
11156.20130426.1.28	1	418	1	483	LR
11156.20130426.1.29	-1	-1	-1	-1	LR
11156.20130426.1.30	-1	-1	-1	-1	LR
11156.20130426.1.31	-1	-1	-1	-1	LR
11156.20130426.1.32	-1	-1	-1	-1	LR
11156.20130426.1.33	-1	-1	-1	-1	LR
11156.20130426.1.34	1	486	1	517	LR
11156.20130426.1.35	1	452	1	383	LR
11156.20130426.1.36	1	602	-1	-1	LR
11156.20130426.1.37	-1	-1	-1	-1	LR
11156.20130426.1.38	-1	-1	-1	-1	LR
11156.20130426.1.39	-1	-1	-1	-1	LR
11156.20130426.1.40	-1	-1	-1	-1	LR
11156.20130426.1.41	1	449	1	450	LR
11156.20130426.1.42	1	477	1	483	LR
11152.20130501.4.1	-1	-1	-1	-1	RI
11152.20130501.4.2	1	385	1	400	RI
11152.20130501.4.3	1	437	1	467	RI
11152.20130501.4.4	1	401	1	383	RI
11152.20130501.4.5	1	413	1	417	RI
11152.20130501.4.6	1	77	-1	-1	RI
11152.20130501.4.7	1	717	1	650	RI
11152.20130501.4.8	1	421	1	433	RI
11152.20130501.4.9	1	437	1	450	RI
11152.20130501.4.10	1	421	1	400	RI
11152.20130501.4.11	1	413	-1	-1	RI
11152.20130501.4.12	1	437	1	433	RI
11152.20130501.4.13	1	397	1	417	RI
11152.20130501.4.14	1	413	1	433	RI
11152.20130501.4.15	1	393	1	383	RI
11152.20130501.4.16	1	385	1	383	RI
11152.20130501.4.17	1	389	1	417	RI
11152.20130501.4.18	1	493	1	517	RI
11152.20130501.4.19	1	393	1	417	RI
11152.20130501.4.20	1	381	1	400	RI
11152.20130501.4.21	-1	-1	1	433	RI
11152.20130501.4.22	2	425	2	433	RI
11152.20130501.4.23	1	585	1	600	RI
