trial	count_a	lat_a	count_m	lat_m	scorer
11159.20130425.1.9	1	345	1	333	LR
11159.20130425.1.10	-1	-1	-1	-1	LR
11159.20130425.1.11	-1	-1	-1	-1	LR
11159.20130425.1.12	-1	-1	-1	-1	LR
11159.20130425.1.13	1	325	1	317	LR
11159.20130425.1.14	-1	-1	-1	-1	LR
11159.20130425.1.15	-1	-1	-1	-1	LR
11159.20130425.1.16	1	329	1	333	LR
11159.20130425.1.17	1	405	-1	-1	LR
11159.20130425.1.18	-1	-1	-1	-1	LR
11159.20130425.1.19	-1	-1	-1	-1	LR
11159.20130425.1.20	-1	-1	-1	-1	LR
11159.20130425.1.21	-1	-1	-1	-1	LR
11159.20130425.1.22	1	318	1	333	LR
11159.20130425.1.23	1	96	1	83	LR
11159.20130425.1.24	1	278	1	300	LR
11159.20130425.1.25	0	315	-1	-1	LR
11159.20130425.1.26	0	290	-1	-1	LR
11159.20130425.1.27	1	357	-1	-1	LR
11159.20130425.1.28	1	282	1	300	LR
11159.20130425.1.29	-1	-1	-1	-1	LR
11159.20130425.1.30	1	214	-1	-1	LR
11159.20130425.1.31	-1	-1	-1	-1	LR
11159.20130425.1.32	1	298	1	317	LR
11159.20130425.1.33	1	416	1	400	LR
11159.20130425.1.34	1	365	1	367	LR
11159.20130425.1.35	1	539	-1	-1	LR
11159.20130425.1.36	1	266	1	283	LR
11159.20130425.1.37	1	361	1	367	LR
11159.20130425.1.38	1	381	1	383	LR
11159.20130425.1.39	1	329	-1	-1	LR
11159.20130425.1.40	1	321	-1	-1	LR
11159.20130425.1.41	1	389	-1	-1	LR
11159.20130425.1.42	-1	-1	-1	-1	LR
11159.20130425.1.43	1	183	1	133	LR
11159.20130425.1.44	1	405	0	417	LR
11159.20130425.1.45	1	325	1	333	LR
11159.20130425.1.46	1	314	1	300	LR
11159.20130425.1.47	-1	-1	-1	-1	LR
11159.20130425.1.48	1	456	-1	-1	LR
11159.20130425.1.49	1	393	1	383	LR
