trial	count_a	lat_a	count_m	lat_m	scorer	xdat
*10263.20070321.1.32	-1	-1	1	183	JS	
*10263.20070321.1.33	-1	-1	1	167	JS	
*10263.20070321.1.34	-1	-1	1	183	JS	
*10263.20070321.1.35	-1	-1	1	233	JS	
*10263.20070321.1.36	-1	-1	1	167	JS	
*10263.20070321.1.37	-1	-1	1	183	JS	
*10263.20070321.1.38	-1	-1	1	233	JS	
*10263.20070321.1.39	-1	-1	1	200	JS	
*10263.20070321.1.40	-1	-1	1	233	JS	
*10263.20070321.1.41	-1	-1	1	217	JS	
*10263.20070321.1.42	-1	-1	1	200	JS	
*10263.20070321.1.43	-1	-1	1	183	JS	
*10263.20070321.1.44	-1	-1	1	183	JS	
*10263.20070321.1.45	-1	-1	1	183	JS	
*10263.20070321.1.46	-1	-1	1	250	JS	
*10263.20070321.1.47	-1	-1	1	183	JS	
*10263.20070321.1.48	-1	-1	1	183	JS	
*10263.20060228.1.1	-1	-1	1	250	THERESA	
*10263.20060228.1.2	-1	-1	1	283	THERESA	
*10263.20060228.1.3	-1	-1	1	233	THERESA	
*10263.20060228.1.4	-1	-1	1	283	THERESA	
*10263.20060228.1.5	-1	-1	1	167	THERESA	
*10263.20060228.1.6	-1	-1	1	217	THERESA	
*10263.20060228.1.7	-1	-1	0	50	THERESA	
*10263.20060228.1.8	-1	-1	1	183	THERESA	
*10263.20060228.1.9	-1	-1	1	250	THERESA	
*10263.20060228.1.10	-1	-1	1	167	THERESA	
*10263.20060228.1.11	-1	-1	1	183	THERESA	
*10263.20060228.1.12	-1	-1	1	167	THERESA	
*10263.20060228.1.13	-1	-1	1	283	THERESA	
*10263.20060228.1.14	-1	-1	1	200	THERESA	
*10263.20060228.1.15	-1	-1	1	117	THERESA	
*10263.20060228.1.16	-1	-1	1	150	THERESA	
*10263.20060228.1.17	-1	-1	1	133	THERESA	
*10263.20060228.1.18	-1	-1	1	217	THERESA	
*10263.20060228.1.19	-1	-1	1	167	THERESA	
*10263.20060228.1.20	-1	-1	1	233	THERESA	
*10263.20060228.1.21	-1	-1	1	250	THERESA	
*10263.20060228.1.22	-1	-1	1	217	THERESA	
*10263.20060228.1.23	-1	-1	1	183	THERESA	
*10263.20060228.1.24	-1	-1	1	200	THERESA	
*10263.20060228.1.25	-1	-1	-1	-1	THERESA	
*10263.20060228.1.26	-1	-1	1	150	THERESA	
*10263.20060228.1.27	-1	-1	1	183	THERESA	
*10263.20060228.1.28	-1	-1	1	200	THERESA	
*10263.20060228.1.29	-1	-1	1	233	THERESA	
*10263.20060228.1.30	-1	-1	-1	-1	THERESA	
*10263.20060228.1.31	-1	-1	1	217	THERESA	
*10263.20060228.1.32	-1	-1	1	217	THERESA	
*10263.20060228.1.33	-1	-1	1	267	THERESA	
*10263.20060228.1.34	-1	-1	1	267	THERESA	
*10263.20060228.1.35	-1	-1	1	250	THERESA	
*10263.20060228.1.36	-1	-1	-1	-1	THERESA	
*10263.20060228.1.37	-1	-1	1	317	THERESA	
*10263.20060228.1.38	-1	-1	1	183	THERESA	
*10263.20060228.1.39	-1	-1	1	183	THERESA	
*10263.20060228.1.40	-1	-1	1	167	THERESA	
*10263.20060228.1.41	-1	-1	1	133	THERESA	
*10263.20060228.1.42	-1	-1	1	200	THERESA	
*10263.20060228.1.43	-1	-1	1	200	THERESA	
*10263.20060228.1.44	-1	-1	1	150	THERESA	
*10263.20060228.1.45	-1	-1	-1	-1	THERESA	
*10263.20060228.1.46	-1	-1	1	100	THERESA	
*10263.20060228.1.47	-1	-1	1	167	THERESA	
*10263.20060228.1.48	-1	-1	1	233	THERESA	
10261.20100511.1.1	1	102	1	83	IO	122
10261.20100511.1.2	1	114	1	133	IO	122
10261.20100511.1.3	1	302	1	317	IO	121
10261.20100511.1.4	1	119	1	133	IO	124
10261.20100511.1.5	1	119	1	133	IO	122
10261.20100511.1.6	1	108	1	133	IO	124
10261.20100511.1.7	1	134	1	150	IO	122
10261.20100511.1.8	1	132	1	150	IO	122
10261.20100511.1.9	1	105	1	100	IO	122
10261.20100511.1.10	1	135	1	150	IO	124
10261.20100511.1.11	1	164	-1	-1	IO	121
10261.20100511.1.12	1	105	1	133	IO	124
10261.20100511.1.13	1	113	1	133	IO	124
10261.20100511.1.14	1	115	1	133	IO	122
10261.20100511.1.15	1	157	1	183	IO	121
10261.20100511.1.16	1	137	1	150	IO	122
10261.20100511.1.17	1	113	1	133	IO	123
10261.20100511.1.18	1	124	1	133	IO	123
10261.20100511.1.19	1	228	1	267	IO	124
10261.20100511.1.20	1	157	1	183	IO	122
10261.20100511.1.21	1	107	1	117	IO	123
10261.20100511.1.22	1	102	1	117	IO	122
10261.20100511.1.23	1	78	1	83	IO	123
10261.20100511.1.24	1	191	1	217	IO	121
10261.20100511.1.25	2	72	0	100	IO	121
10261.20100511.1.26	1	196	1	217	IO	124
10261.20100511.1.27	1	309	1	333	IO	124
10261.20100511.1.28	1	124	1	150	IO	121
10261.20100511.1.29	1	102	1	117	IO	123
10261.20100511.1.30	1	124	1	150	IO	124
10261.20100511.1.31	1	154	1	183	IO	124
10261.20100511.1.32	1	119	1	133	IO	123
10261.20100511.1.33	1	242	1	250	IO	124
10261.20100511.1.34	1	114	1	133	IO	121
10261.20100511.1.35	1	109	1	117	IO	123
10261.20100511.1.36	1	134	1	150	IO	121
10261.20100511.1.37	1	177	1	200	IO	123
10261.20100511.1.38	1	93	1	117	IO	123
10261.20100511.1.39	1	142	1	167	IO	124
10261.20100511.1.40	1	107	1	117	IO	122
10261.20100511.1.41	1	92	1	100	IO	123
10261.20100511.1.42	1	113	1	133	IO	122
10261.20100511.1.43	1	117	-1	-1	IO	123
10261.20100511.1.44	1	144	1	167	IO	121
10261.20100511.1.45	1	159	1	183	IO	121
10261.20100511.1.46	1	179	1	200	IO	121
10261.20100511.1.47	2	107	0	133	IO	121
10261.20100511.1.48	1	117	1	133	IO	123
10261.20090401.1.1	1	162	1	167	KBEASCW	122
10261.20090401.1.2	1	134	1	150	KBEASCW	123
10261.20090401.1.3	1	NA	1	67	KBEASCW	121
10261.20090401.1.4	1	103	1	117	KBEASCW	123
10261.20090401.1.5	1	137	1	150	KBEASCW	123
10261.20090401.1.6	1	110	1	117	KBEASCW	122
10261.20090401.1.7	1	93	1	117	KBEASCW	122
10261.20090401.1.8	1	142	1	150	KBEASCW	121
10261.20090401.1.9	1	124	1	133	KBEASCW	122
10261.20090401.1.10	1	147	1	167	KBEASCW	124
