"vid","trial","lat.asl","Count.asl","Desc.asl","dotpos","lat.el","Count.el","Desc.el"
"220682rr02",57,NA,-1,"blink before target onset (18 of 18 pretarget NA)",1406,-22515,-1,"early saccade"
"220682rr02",58,350,1,"",1824,-965,-1,"early saccade"
"220682rr02",59,NA,-1,"no saccades (getSacs)",96,-363,-1,"early saccade"
"220682rr02",6,NA,-1,"blink before target onset (18 of 18 pretarget NA)",259,-16268,-1,"early saccade"
"220682rr02",60,NA,-1,"blink before target onset (18 of 18 pretarget NA)",1661,-2331,-1,"early saccade"
"220682rr02",61,NA,-1,"blink before target onset (18 of 18 pretarget NA)",1661,-4675,-1,"early saccade"
"220682rr02",62,NA,-1,"blink before target onset (18 of 18 pretarget NA)",1406,-2989,-1,"early saccade"
"220682rr02",63,NA,-1,"blink before target onset (18 of 18 pretarget NA)",1824,-9007,-1,"early saccade"
"220682rr02",64,NA,-1,"blink before target onset (18 of 18 pretarget NA)",1824,-15007,-1,"early saccade"
"220682rr02",65,NA,-1,"blink before target onset (18 of 18 pretarget NA)",514,-3308,-1,"early saccade"
"220682rr02",66,NA,-1,"blink before target onset (18 of 18 pretarget NA)",514,-9309,-1,"early saccade"
"220682rr02",67,NA,-1,"blink before target onset (18 of 18 pretarget NA)",96,-16884,-1,"early saccade"
"220682rr02",68,NA,-1,"blink before target onset (18 of 18 pretarget NA)",259,-22884,-1,"early saccade"
"220682rr02",69,NA,-1,"blink before target onset (18 of 18 pretarget NA)",259,-28884,-1,"early saccade"
"220682rr02",7,NA,-1,"blink before target onset (18 of 18 pretarget NA)",1824,-2998,-1,"early saccade"
"220682rr02",70,NA,-1,"blink before target onset (18 of 18 pretarget NA)",96,-34884,-1,"early saccade"
"220682rr02",71,NA,-1,"moving (58.729 px/60Hz) before target onset",1406,-16,-1,"early saccade"
"220682rr02",72,NA,-1,"blink before target onset (18 of 18 pretarget NA)",1824,-3171,-1,"early saccade"
"220682rr02",73,NA,-1,"blink before target onset (18 of 18 pretarget NA)",259,-9170,-1,"early saccade"
"220682rr02",74,NA,-1,"blink before target onset (18 of 18 pretarget NA)",1824,-1516,-1,"early saccade"
"220682rr02",75,NA,-1,"blink before target onset (18 of 18 pretarget NA)",1824,-5850,-1,"early saccade"
"220682rr02",76,NA,-1,"blink before target onset (18 of 18 pretarget NA)",1661,-11850,-1,"early saccade"
"220682rr02",77,NA,-1,"blink before target onset (18 of 18 pretarget NA)",96,-3342,-1,"early saccade"
"220682rr02",78,NA,-1,"blink before target onset (18 of 18 pretarget NA)",514,-648,-1,"early saccade"
"220682rr02",79,NA,-1,"blink before target onset (18 of 18 pretarget NA)",96,-7240,-1,"early saccade"
"220682rr02",8,NA,-1,"blink before target onset (18 of 18 pretarget NA)",1824,-10204,-1,"early saccade"
"220682rr02",80,NA,-1,"blink before target onset (18 of 18 pretarget NA)",96,-7456,-1,"early saccade"
"220682rr02",81,NA,-1,"blink before target onset (18 of 18 pretarget NA)",1661,-4980,-1,"early saccade"
"220682rr02",82,NA,-1,"blink before target onset (18 of 18 pretarget NA)",259,-10980,-1,"early saccade"
"220682rr02",83,NA,-1,"blink before target onset (18 of 18 pretarget NA)",1406,-16980,-1,"early saccade"
"220682rr02",84,NA,-1,"blink before target onset (18 of 18 pretarget NA)",514,-4111,-1,"early saccade"
"220682rr02",85,NA,-1,"blink before target onset (18 of 18 pretarget NA)",1824,-683,-1,"early saccade"
"220682rr02",86,NA,-1,"blink before target onset (18 of 18 pretarget NA)",514,-687,-1,"early saccade"
"220682rr02",87,NA,-1,"blink before target onset (18 of 18 pretarget NA)",1661,84,0,""
"220682rr02",88,NA,-1,"blink before target onset (18 of 18 pretarget NA)",1406,-1771,-1,"early saccade"
"220682rr02",89,NA,-1,"blink before target onset (18 of 18 pretarget NA)",1824,-99803,-1,"early saccade"
"220682rr02",9,325,1,"",96,310,1,""
"220682rr02",90,NA,-1,"blink before target onset (18 of 18 pretarget NA)",259,-105803,-1,"early saccade"
"220682rr02",91,NA,-1,"blink before target onset (18 of 18 pretarget NA)",1406,-13701,-1,"early saccade"
"220682rr02",92,NA,-1,"blink before target onset (18 of 18 pretarget NA)",259,-8443,-1,"early saccade"
"220682rr02",93,NA,-1,"average fixpos(31.6) is off from middle(130.5) by 98.85 (>max 50.0)!",96,-14443,-1,"early saccade"
"220682rr02",94,NA,-1,"blink before target onset (18 of 18 pretarget NA)",1661,301,0,""
"220682rr02",95,NA,-1,"blink before target onset (18 of 18 pretarget NA)",96,-5699,-1,"early saccade"
"220682rr02",96,NA,-1,"blink before target onset (18 of 18 pretarget NA)",1824,-11699,-1,"early saccade"
"220682rr02",97,NA,-1,"blink before target onset (18 of 18 pretarget NA)",96,-17699,-1,"early saccade"
"220682rr02",98,NA,-1,"blink before target onset (18 of 18 pretarget NA)",514,-23699,-1,"early saccade"
"220682rr02",99,NA,-1,"blink before target onset (18 of 18 pretarget NA)",259,-43,-1,"early saccade"
"220828rr01",1,328,1,"",1661,343,1,""
"220828rr01",10,260,1,"",96,267,1,""
"220828rr01",100,229,1,"",1661,234,1,""
"220828rr01",101,266,1,"",1661,270,1,""
"220828rr01",102,317,1,"",96,318,1,""
"220828rr01",103,281,1,"",96,282,1,""
"220828rr01",104,288,1,"",259,290,1,""
"220828rr01",105,229,1,"",1824,234,1,""
"220828rr01",106,233,1,"",96,238,1,""
"220828rr01",107,295,1,"",514,295,1,""
"220828rr01",108,255,1,"",1406,258,1,""
"220828rr01",109,266,1,"",1406,271,1,""
"220828rr01",11,285,1,"",1824,299,1,""
"220828rr01",110,336,1,"",1824,343,1,""
"220828rr01",111,270,1,"",514,274,1,""
"220828rr01",12,303,1,"",259,319,1,""
"220828rr01",13,328,1,"",1406,343,1,""
"220828rr01",14,267,1,"",96,287,1,""
"220828rr01",15,350,1,"",1406,359,1,""
"220828rr01",16,241,1,"",259,259,1,""
"220828rr01",17,256,1,"",514,271,1,""
"220828rr01",18,251,1,"",96,252,1,""
"220828rr01",19,273,1,"",1661,272,1,""
"220828rr01",2,252,1,"",1824,263,1,""
"220828rr01",20,233,1,"",514,232,1,""
"220828rr01",21,292,1,"",1824,292,1,""
"220828rr01",22,321,1,"",1824,320,1,""
"220828rr01",23,303,1,"",1661,300,1,""
"220828rr01",24,372,1,"",96,376,1,""
"220828rr01",25,259,1,"",1406,240,1,""
"220828rr01",26,229,1,"",259,232,1,""
"220828rr01",27,292,1,"",96,292,1,""
"220828rr01",28,299,1,"",1824,296,1,""
"220828rr01",29,270,1,"",1406,269,1,""
"220828rr01",3,292,1,"",1824,307,1,""
"220828rr01",30,281,1,"",1824,277,1,""
"220828rr01",31,215,1,"",1406,213,1,""
"220828rr01",32,314,1,"",259,265,1,""
"220828rr01",33,266,1,"",1824,269,1,""
"220828rr01",34,310,1,"",96,309,1,""
"220828rr01",35,270,1,"",1661,249,1,""
"220828rr01",36,343,1,"",259,341,1,""
"220828rr01",37,288,1,"",1824,261,1,""
"220828rr01",38,259,1,"",96,257,1,""
"220828rr01",39,244,1,"",96,241,1,""
"220828rr01",4,270,1,"",514,255,1,""
"220828rr01",40,391,1,"",514,389,1,""
"220828rr01",41,240,1,"",514,237,1,""
"220828rr01",42,288,1,"",1661,281,1,""
"220828rr01",43,263,1,"",1406,262,1,""
"220828rr01",44,343,1,"",1661,342,1,""
"220828rr01",45,473,1,"",96,474,1,""
"220828rr01",46,328,1,"",259,330,1,""
"220828rr01",47,332,1,"",1824,310,1,""
"220828rr01",48,209,1,"",514,210,1,""
"220828rr01",49,241,1,"",96,246,1,""
"220828rr01",5,292,1,"",1406,307,1,""
"220828rr01",50,263,1,"",1661,250,1,""
"220828rr01",51,234,1,"",514,239,1,""
"220828rr01",52,339,1,"",259,342,1,""
"220828rr01",53,310,1,"",96,242,1,""
"220828rr01",54,299,0,"",1406,299,0,""
"220828rr01",55,303,1,"",1824,303,1,""
"220828rr01",56,252,1,"",1824,235,1,""
"220828rr01",57,387,1,"",259,384,1,""
"220828rr01",58,361,1,"",96,360,1,""
"220828rr01",59,233,1,"",1406,232,1,""
"220828rr01",6,289,1,"",1661,303,1,""
"220828rr01",60,266,1,"",96,264,1,""
"220828rr01",61,321,1,"",259,320,1,""
"220828rr01",62,277,1,"",1661,268,1,""
"220828rr01",63,332,1,"",514,332,1,""
"220828rr01",64,288,1,"",1661,288,1,""
"220828rr01",65,259,1,"",1824,260,1,""
"220828rr01",66,281,1,"",1824,280,1,""
"220828rr01",67,222,1,"",1406,224,1,""
"220828rr01",68,394,1,"",96,396,1,""
"220828rr01",69,398,1,"",514,396,1,""
"220828rr01",7,307,1,"",259,323,1,""
"220828rr01",70,273,1,"",1824,245,1,""
"220828rr01",71,383,1,"",96,384,1,""
"220828rr01",72,259,1,"",1824,261,1,""
"220828rr01",73,248,1,"",1406,241,1,""
"220828rr01",74,288,1,"",514,289,1,""
"220828rr01",75,299,1,"",1824,297,1,""
"220828rr01",76,295,1,"",514,297,1,""
"220828rr01",77,273,1,"",259,273,1,""
"220828rr01",78,490,1,"",96,489,1,""
"220828rr01",79,266,1,"",96,269,1,""
"220828rr01",8,289,1,"",514,307,1,""
"220828rr01",80,369,1,"",1661,5,-1,"early saccade"
"220828rr01",81,299,1,"",1661,305,1,""
"220828rr01",82,959,1,"",1824,965,1,""
"220828rr01",83,244,1,"",259,229,1,""
"220828rr01",84,306,1,"",1406,309,1,""
"220828rr01",85,252,0,"",96,156,2,""
"220828rr01",86,249,1,"",259,248,1,""
"220828rr01",87,260,1,"",1661,228,1,""
"220828rr01",88,270,1,"",514,268,1,""
"220828rr01",89,310,1,"",1824,312,1,""
"220828rr01",9,249,1,"",96,267,1,""
"220828rr01",90,426,1,"",96,428,1,""
"220828rr01",91,354,1,"",96,356,1,""
"220828rr01",92,267,1,"",1406,260,1,""
"220828rr01",93,296,1,"",514,256,1,""
"220828rr01",94,325,1,"",1406,328,1,""
"220828rr01",95,684,1,"",1661,37,-1,"early saccade"
"220828rr01",96,274,1,"",1824,281,1,""
"220828rr01",97,267,1,"",1824,273,1,""
"220828rr01",98,386,1,"",259,393,1,""
"220828rr01",99,226,1,"",259,230,1,""
"220898rr01",1,NA,-1,"average fixpos(234.2) is off from middle(130.5) by 103.69 (>max 50.0)!",1824,448,1,""
"220898rr01",10,NA,-1,"average fixpos(22.7) is off from middle(130.5) by 107.82 (>max 50.0)!",1661,364,1,""
"220898rr01",100,256,1,"",259,263,1,""
"220898rr01",101,220,1,"",1661,219,1,""
"220898rr01",102,256,1,"",96,255,1,""
"220898rr01",103,245,1,"",1824,243,1,""
"220898rr01",104,227,1,"",514,99,1,""
"220898rr01",105,245,1,"",1661,55,-1,"early saccade"
"220898rr01",106,183,1,"",1824,23,-1,"early saccade"
"220898rr01",107,162,1,"",1406,59,-1,"early saccade"
"220898rr01",108,220,1,"",1406,219,1,""
"220898rr01",109,281,1,"",96,283,1,""
